国家,学校分类,排名,成立年份,州省,title,学生人数,性质,城市,网址,rank,宗教信仰
美国,本科：1.3%*(3),42*(2),公立，男女合校,佛罗里达州,佛罗里达大学 ,8.1Km2，郊区*(1),公民与德，国家之福,盖恩斯维尔,南部学院及学校协会（SACS）,75,1853年*(1)
德国,20%(2013年)*(5),,1868*(1),,慕尼黑工业大学 ,"35,979(2013年)*(5)",公立，男女合校,慕尼黑,精英大学,69,无
美国,全国性大学,124*(2),1885*(2),亚利桑那州,亚利桑那大学 ,"43,088*(3)",公立，男女合校,图森,www.arizona.edu,68,无
美国,全国性大学,14*(2),1891*(1),德克萨斯州,莱斯大学 ,"6,623",私立，男女合校,休斯敦,www.rice.edu,71,无
美国,全国性大学,81*(2),1855*(1),密歇根州,密歇根州立大学 ,"50,543",公立，男女合校,东兰辛,www.msu.edu,70,无
澳大利亚,五星级大学,ERA：6*(5),1911年*(1),西澳大利亚州,西澳大学 ,"25,047*(6)",公立，男女合校,珀斯,www.uwa.edu.au,73,无
,,,,,医学 ,,,,,65,
,,,,,伦敦大学 ,,,,"
www.london.ac.uk
",64,
美国,1:13*(4),25*(3),1900*(1),宾夕法尼亚州,卡耐基梅隆大学 ,,私立，男女合校,匹兹堡,全国性大学,67,无
美国,全国性大学,34*(2),1885*(1),佐治亚州,佐治亚理工学院 ,"23,109",公立，男女合校,亚特兰大,www.gatech.edu,62,无
美国,全国性大学,42*(2),1965年*(1),加利福尼亚州,加州大学尔湾分校 ,"31,551*(3)",公立，男女合校,尔湾,www.uci.edu,66,无
美国,全国性大学 *(3),21*(2),1836 *(1),佐治亚州 *(1),艾茉莉大学 ,"14,724*(4)",私立，男女合校 *(3),亚特兰大 *(1),www.emory.edu *(3),61,基督教 *(1)
英国,综合性大学,QS世界：7(29)；Times国内：15,1909年*(1),英格兰,布里斯托大学 ,"20,107（含全日制与非全日制）*(3)",公立，男女合校,布里斯托,bristol.ac.uk,63,无
澳大利亚,五星级大学,ERA：3*(2),1946年*(3),首都特区,澳洲国立大学 ,"21,149*(4)",公立，男女合校,堪培拉,www.anu.edu.au,59,无
美国,全国性大学,14*(5),1873*(2),田纳西州,范德堡大学 ,"12,567",私立，男女合校,纳什维尔,www.vanderbilt.edu,57,无
,,,,,北京大学 ,,,,,55,
,,,,,清华大学 ,,,,,54,
澳大利亚,五星级大学,ERA：4*(2),1949年*(4),新南威尔士州,新南威尔士大学 ,"50,516*(4)",公立，男女合校,悉尼,www.unsw.edu.au,60,无
澳大利亚,五星级大学,ERA：5*(5),1958年*(4),维多利亚州,莫纳什大学 ,"64,500（含无学位项目学生）*(7)",公立，男女合校,墨尔本,www.monash.edu.au,58,无
德国,综合性大学，可授予博士学位,,1386*(1),,海德堡大学 ,"30,873(2013年)*(6)",公立，男女合校,海德堡,www.uni-heidelberg.de,51,无
美国,1:16*(5),USNEWS：52*(4),1855,宾夕法尼亚州,宾州州立大学公园分校 ,,公立，男女合校*(5),大学公园,美国大学协会(AAU)公立常春藤宾夕法尼亚联邦高等教育系统*(1),56,
