国家,学校分类,排名,成立年份,州省,title,学生人数,性质,城市,网址,rank,宗教信仰
澳大利亚,一星级大学*(2),ERA：10*(1),1994年*(2),新南威尔士州*(2),南十字星大学 ,"14,476*(3)",公立，男女合校*(2),利斯莫尔*(2),www.scu.edu.au*(2),449,无*(2)
,,,,,哈尔滨工程大学 ,,,,,438,
英国,综合性大学,62,1894年,英格兰,诺森比亚大学 ,"29,300",公立，男女合校,纽卡斯尔,www.northumbria.ac.uk,436,无
美国,"16,639",RNP,1912,田纳西州,孟菲斯大学 ,"20,585",公立，男女合校,孟菲斯,"3,946",435,无
德国,14%(2013年)*(4),,1511年*(1),,奥格斯堡大学 ,"18,000(2013年)*(4)",公立，男女合校,奥格斯堡,综合性大学，可授予博士学位,437,无
,,,,,北京邮电大学 ,,,,,434,
,,,,,郑州大学 ,,,,,433,
美国,"16,064",RNP,1872,俄亥俄州,托莱多大学 ,"20,377",公立，男女合校,托莱多,4.313,430,无
加拿大,综合类大学,10,1911年,萨斯喀彻温省,里贾纳大学 ,"12,270",公立，男女合校,里贾纳,www.uregina.ca,429,无
加拿大,综合类大学,8,1948年,安大略省,瑞尔森大学 ,"35,900",公立，男女合校,多伦多,www.ryerson.ca,428,无
美国,综合性大学,RNP,1946,俄勒冈州,波特兰州立大学 ,"27,488",公立，男女合校,波特兰,www.pdx.edu,427,无
,,,,,南京师范大学 ,,,,,426,
美国,6%*(1),-,公立，男女合校,加利福尼亚州,旧金山州立大学 ,0.57Km2 市区*(2),经验出真知,旧金山,西部院校协会（WASC）,432,1899 *(2)
澳大利亚,二星级大学,ERA：25*(2),1989年*(1),新南威尔士州,查理斯特大学 ,"21,341*(1)",公立，男女合校,悉尼,www.csu.edu.au,439,无
美国,全国性大学,140*(4),1881年*(1),新泽西州,新泽西理工学院 ,"12,125",公立，男女合校,纽华克,www.njit.edu,424,无
,,,,,华北电力大学 ,,,,,431,
,,,,,兽医 ,,,,,423,
美国,全国性大学,78*(4),1809*(2),俄亥俄州,迈阿密大学（俄亥俄） ,"18,907",公立，男女合校,牛津,www.miamioh.edu,421,无
,,,,,中国石油大学 ,,,,,420,
美国,3%*(8),中西部第1*(6),私立，男女合校,内布拉斯加州,克雷顿大学 ,0.5342km² 市区,躬先表率,奥马哈,中北部学院及学校协会（NCACS）*(7),422,1878年
"
英国
","
综合性大学
","
76
","
1858年
","
英格兰
",布莱顿大学 ,"
22,075
","
公立，男女合校
","
布莱顿
","
www.brighton.ac.uk
",417,"
无
"
,,,,,西北农林科技大学 ,,,,,418,
"
英国
","
综合性大学
","
73
","
1968年
","
北爱尔兰
",阿尔斯特大学 ,"
26,560
","
公立，男女合校
","
贝尔法斯特
","
www.ulster.ac.uk
",415,"
无
"
,,,,,南京理工大学 ,,,,,416,
,,,,,合肥工业大学 ,,,,,414,
澳大利亚*(2),三星级大学*(2),ERA：29*(1),1967*(2),首都特区*(2),堪培拉大学 ,"16,429*(4)",公立，男女合校*(2),堪培拉*(2),www.canberra.edu.au,425,无
美国*(2),综合性大学,97*(1),1829年*(2),纽约州*(2),罗切斯特理工学院 ,"16,640*(3)",私立，男女合校*(2),罗切斯特*(2),www.rit.edu,419,无*(2)
美国,全国性大学,165*(2),1885年*(1),密苏里州,密苏里科技大学 ,"8,889",公立，男女合校,罗拉,www.mst.edu*(6),411,无
,,,,,外科 ,,,,,409,
美国,"15,870",RNP,1898,路易斯安那州,路易斯安那大学拉法叶分校 ,"17,508",公立，男女合校,拉法叶,"1,638",412,无
,,,,,江南大学 ,,,,,410,
美国,"22,732",198,1946,北卡罗来纳州,北卡罗来纳大学夏洛特分校 ,"27,983",公立，男女合校,夏洛特,"5,251",413,无
,,,,,西北工业大学 ,,,,,406,
,,,,,伦敦 ,,,,,407,
,,,,,西北大学（中国） ,,,,,405,
,,,,,南京航空航天大学 ,,,,,402,
美国,综合性大学,RNP,1957,内华达州,内华达大学拉斯维加斯分校 ,"28,605",公立，男女合校,拉斯维加斯,www.unlv.edu,403,无
,,,,,华中农业大学 ,,,,,400,
,,,,,立命馆大学 ,,,,,401,
美国,"6,883",110,1867,哥伦比亚特区,霍华德大学 ,"10,002",私立，男女合校,华盛顿,"3,119",404,无
澳大利亚,一星级大学,ERA：22*(2),2004年*(1),北领地,查尔斯达尔文大学 ,"22,719（含TAFE学生）*(3)",公立，男女合校,达尔文、帕默斯顿、爱丽丝斯普林斯、凯瑟琳、纽兰拜,www.cdu.edu.au,408,无
,,,,,东北大学（中国） ,,,,,397,
,,,,,福州大学 ,,,,,399,
,,,,,西南大学（中国） ,,,,,394,
美国,北部地方性大学,北部第56*(2),1847年*(1),纽约州,纽约市立学院 ,"15,464",公立，男女合校,纽约市,www.ccny.cuny.edu,396,无
美国,"17,421",171,1878,密西西比州,密西西比州立大学 ,"20,873",公立，男女合校,斯塔克维尔,"3,452",398,无
,,,,,克兰菲尔德大学 ,,,,,392,
,,,,,中国海洋大学 ,,,,,393,
美国,全国性大学,156*(3),1892年*(1),罗德岛州,罗德岛大学 ,"16,613",公立，男女合校,金斯敦,www.uri.edu*(5),391,无
美国,全国性大学,124*(3),1885,密歇根州,密歇根理工大学 ,"7,242",公立，男女合校,霍顿,www.mtu.edu*(4),389,无
,,,,,经济学 ,,,,,390,
德国,综合性大学，可授予博士学位,,1973年*(1),,奥登堡大学 ,"12,707(2014年)*(5)",公立，男女合校,奥登堡,www.uni-oldenburg.de,386,无
美国,全国性大学,202*(4),1874年*(1),内华达州,内华达大学雷诺分校 ,"20,880",公立，男女合校,雷诺,www.unr.edu,388,无
英国,综合性大学,29,1895年,英格兰,阿斯顿大学 ,"12,205",公立，男女合校,伯明翰,www.aston.ac.uk,384,无
美国,全国性大学,87*(3),1946*(1),纽约州,纽约州立大学宾汉姆顿分校 ,"16,913",公立，男女合校,宾汉姆顿,www.binghamton.edu,395,无
,,,,,北京化工大学 ,,,,,385,
美国,全国性大学,171*(5),1889年*(1),爱达荷州,爱达荷大学 ,"11,372*(3)",公立，男女合校,莫斯科,www.uidaho.edu,387,无
"
新西兰
","
综合性大学
",,"
1964年
",,怀卡托大学 ,"
12,000
","
公立，男女合校
","
汉密尔顿、陶朗加
","
www.waikato.ac.nz
",380,"
无
"
"
英国
","
综合性大学
","
44
","
1949年
","
英格兰
",基尔大学 ,"
10,655
","
公立，男女合校
","
基尔
","
www.keele.ac.uk
",382,"
无
"
美国,"19,037",RNP,1870,俄亥俄州,阿克伦大学 ,"23,046",公立，男女合校,阿克伦,"4,009",381,无
美国,综合性大学,165*(2),2005*(1),加利福尼亚州,加州大学默塞德分校 ,"6,685*(2)",公立，男女合校,默塞德,www.ucmerced.edu,383,无
美国,"20,830",151,1804,俄亥俄州,俄亥俄大学 ,"26,492",公立，男女合校,阿森斯,"5,662",379,无
"
英国
","
综合性大学
","
51
","
1967年
","
苏格兰
",斯特林大学 ,"
11,120
","
公立，男女合校
","
斯特林
","
www.stir.ac.uk
",375,"
无
"
"
英国
","
综合性大学
","
63
","
1927年
","
英格兰
",赫尔大学 ,"
23,315
","
公立，男女合校
","
金斯顿
","
www.hull.ac.uk
",374,"
无
"
德国,综合性大学，可授予博士学位,,1946年*(1),,马格德堡大学 ,"14,000*(4)",公立，男女合校,马格德堡,www.ovgu.de,376,无
美国,"12,526",198,1888,新墨西哥州,新墨西哥州立大学 ,"15,490",公立，男女合校,拉斯克鲁塞斯,"2,964",372,无
,,,,,南京农业大学 ,,,,,371,
澳大利亚,一星级大学,ERA：29*(3),1991年*(1),西澳大利亚州,埃迪斯科文大学 ,"约23,000*(4)",公立，男女合校,珀斯,www.ecu.edu.au,378,无
美国,9%*(5),87*(2),私立，男女合校,科罗拉多州,丹佛大学 ,0.51Km2，市区*(3),知识与灵魂,丹佛,中北部学院及学校协会（NCACS）*(4),373,1864
,,,,,北京科技大学 ,,,,,368,
美国,综合性大学,207,1893,蒙大拿州,蒙大拿州立大学 ,"15,653",公立，男女合校,波兹曼,www.montana.edu,370,无
,,,,,东华大学 ,,,,,367,
美国,全国性大学,103*(2),1856年*(1),阿拉巴马州,奥本大学 ,"27,287",公立，男女合校,奥本,www.auburn.edu,366,无
美国,1:19*(3),USNEWS：133*(2),1871,阿肯色州,阿肯色大学 ,,公立，男女合校*(3),费耶特维尔,中北部学院及学校协会（NCACS）*(3),369,无
澳大利亚,二星级大学,ERA：78*(1),1938年*(2),新南威尔士州*(2),新英格兰大学 ,"22,389*(3)",公立，男女合校*(2),阿米代尔*(2),www.une.edu.au *(3),377,无
美国,,,,密苏里州,圣路易斯（密苏里州） ,,,,,364,
,,,,,重庆大学 ,,,,,362,
,,,,,管理学 ,,,,,360,
美国,"25,120",RNP,1899,亚利桑那州,北亚利桑那大学 ,"29,031",公立，男女合校,旗杆市,"3,911",361,无
德国,综合性大学，可授予博士学位,,1745年*(1),,布伦瑞克工业大学 ,"17,192(2014年)*(4)",公立，男女合校,布伦瑞克,www.tu-braunschweig.de,358,无
美国,1:14*(5),USNEWS：103*(4),1870,伊利诺伊州,芝加哥洛约拉大学 ,,私立，男女合校*(5),芝加哥,中北部学院及学校协会（NCACS）*(5),363,耶稣会
英国,综合性大学,43,1852年,苏格兰,伦敦城市大学 ,"19,340",公立，男女合校,伦敦,www.city.ac.uk,359,无
德国,综合性大学，可授予博士学位,,1964年*(1),,吕贝克大学 ,"3,473(2014年)*(1)",公立，男女合校,吕贝克,www.uni-luebeck.de,357,无
,,,,,北京交通大学 ,,,,,354,
加拿大,综合类大学,Unranked,1974年,魁北克省,康考迪亚大学 ,"43,162",公立，男女合校,蒙特利尔,www.concordia.ca,355,无
美国,综合性大学,RNP,1895,伊利诺伊州,北伊利诺伊大学 ,"20,130",公立，男女合校,迪卡尔布,www.niu.edu,356,无
"
美国
",,,,"
佐治亚
",奥古斯塔（佐治亚州） ,,,,,353,
美国,本科：10%*(4),USNEWS：46*(3),1865,宾夕法尼亚州,里海大学 ,"7,033",私立，男女合校*(4),伯利恒,中部各州学院及学校协会（MSACS）*(4),365,
美国,6%*(5),187*(3),公立，男女合校,西弗吉尼亚州,西弗吉尼亚大学 ,3.7Km2，市区*(1),信仰需有美德，美德需有知识,摩根敦,中北部学院及学校协会（NCACS）,351,1867年*(1)
美国,全国性大学,103*(3),1890年*(1),伊利诺伊州,伊利诺伊理工学院 ,"7,792",私立，男女合校,芝加哥,www.iit.edu*(7),350,无
德国,综合性大学，可授予博士学位,,1456年*(1),,格赖夫斯瓦尔德大学 ,"11,449(2013年)*(4)",公立，男女合校,格赖夫斯瓦尔德,www.uni-greifswald.de,348,无
德国,综合性大学，可授予博士学位,,1818年*(1),,霍恩海姆大学 ,"9,628(2013年)*(4)",公立，男女合校,霍恩海姆,www.uni-hildesheim.de,346,无
澳大利亚,一星级大学,ERA：29*(4),1916年*(2),维多利亚州,维多利亚大学（澳洲） ,"48,922(其中高等教育26,743人，职业教育22,179人)*(4)(5)",公立，男女合校,墨尔本,www.vu.edu.au,352,无
美国,综合性大学,RNP,1890,德克萨斯州,北德克萨斯大学 ,"37,175",公立，男女合校,登顿,www.unt.edu,347,无
"
加拿大
","
综合类大学
","
6
","
1925年
","
纽芬兰与拉布拉多省
",纽芬兰纪念大学 ,"
18,913
","
公立，男女合校
","
圣约翰
","
www.mun.ca
",345,"
无
"
美国,全国性大学,RNP*(3),1930年*(1),弗吉尼亚州,欧道明大学 ,"24,672*(4)",公立，男女合校,诺福克,www.odu.edu,349,无
美国,全国性大学,159*(2),1966年*(1),马里兰州,马里兰大学巴尔的摩郡分校 ,"13,839",公立，男女合校,巴尔的摩,www.umbc.edu,344,无
英国,综合性大学,82,1872年,威尔士,阿伯斯威大学 ,"11,705",公立，男女合校,阿伯斯威,www.aber.ac.uk,340,无
美国,"25,259",216,1888,犹他州,犹他州立大学 ,"28,622",公立，男女合校,洛根,"3,363",341,无
美国,全国性大学,207*(2),1893年*(1),蒙大拿州,蒙大拿大学 ,"13,044",公立，男女合校,米苏拉,www.umt.edu,343,无
,,,,,中国人民大学 ,,,,,338,
美国,"11,253",216,1929,密苏里州,密苏里大学堪萨斯城分校 ,"16,699",公立，男女合校,堪萨斯城,"5,446",339,无
英国,综合性大学,56,1884年,威尔士,班戈大学 ,"11,255",公立，男女合校,班戈,www.bangor.ac.uk,337,无
"
加拿大
","
医博类大学
","
15
","
1954年
","
魁北克省
",舍布鲁克大学 ,"
35,000
","
公立，男女合校
","
舍布鲁克、隆格伊
","
www.usherbrooke.ca
",336,"
无
"
"
英国
","
综合性大学
","
96
","
1953年
","
英格兰
",赫特福德大学 ,"
27,230
","
公立，男女合校
","
哈特菲尔德
","
www.herts.ac.uk
",335,"
无
"
新西兰,综合性大学,,1895年,,奥克兰理工大学 ,"27,140",公立，男女合校,奥克兰,www.aut.ac.nz,333,无
美国,全国性大学,181*(2),1886年*(1),怀俄明州,怀俄明大学 ,"12,648*(2)",公立，男女合校,拉勒米,www.uwyo.edu,332,无
美国,全国性大学,67*(2),1889*(1),南卡罗来纳州,克莱蒙森大学 ,"21,957*(3)(4)",公立，男女合校,克莱蒙森,www.clemson.edu,342,无
美国,全国性大学,USNEWS：61*(3),1865,犹他州,杨百翰大学 ,"33,469",私立，男女合校*(4),普罗沃（Provo，UT）,home.byu.edu*(4),331,摩门
德国,综合性大学，可授予博士学位,,1502年*(1),,哈勒-维滕贝格大学 ,"21,000(2013年)*(4)",公立，男女合校,哈勒,www.uni-halle.de,328,无
"
英国
","
综合性大学
","
33
","
1965年
","
英格兰
",肯特大学 ,"
20,310
","
公立，男女合校
","
坎特伯雷
","
www.kent.ac.uk
",327,"
无
"
,,,,,电子科技大学 ,,,,,329,
美国,全国性大学,207*(5),1917年*(1),阿拉斯加州,阿拉斯加大学费尔班克斯分校 ,"8,719*(3)",公立，男女合校,费尔班克斯,www.uaf.edu,325,无
"
英国
","
综合性大学
","
55
","
1869年
","
英格兰
",朴茨茅斯大学 ,"
23,705
","
公立，男女合校
","
朴茨茅斯
","
www.port.ac.uk
",324,"
无
"
,,,,,湖南大学 ,,,,,323,
澳大利亚,三星级大学,ERA：23*(3),1975年*(1),西澳大利亚州,默多克大学 ,"22,000（其中海外学习的学生为8,000名）*(5)",公立，男女合校*(1),珀斯（Perth）*(1) ,www.murdoch.edu.au,334,无
美国,"15,769",165,1798,肯塔基州,路易维尔大学 ,"21,295",公立，男女合校,路易维尔,"5,526",322,无
德国,综合性大学，可授予博士学位,,1907年*(1),,曼海姆大学 ,"12,151*(4)",公立，男女合校,曼海姆,www.uni-mannheim.de,320,无
美国,"23,607",176,1910,俄亥俄州,肯特州立大学 ,"29,762",公立，男女合校,肯特,"6,155",321,无
"
英国
","
综合性大学
","
83
","
1823年
","
英格兰
",利物浦约翰摩尔斯大学 ,"
24,455
","
公立，男女合校
","
利物浦
","
www.ljmu.ac.uk
",318,"
无
"
,,,,,化学 ,,,,,319,
美国,全国性大学,32*(2),1693,弗吉尼亚州,威廉玛丽学院 ,"8,484*(2)",公立，男女合校,威廉斯堡,www.wm.edu,326,无
德国,综合性大学，可授予博士学位,,1962年*(1),,罗斯托克大学 ,"14,417(2014年)*(4)",公立，男女合校,罗斯托克,www.uni-rostock.de,316,无
德国,综合性大学，可授予博士学位,,1831年*(1),,汉诺威大学 ,"23,877(2014年)*(4)",公立，男女合校,汉诺威,www.uni-hannover.de,315,无
德国,综合性大学，可授予博士学位,,1975年*(1),,拜罗伊特大学 ,"13,470(2013年)*(1)",公立，男女合校,拜罗伊特,www.uni-bayreuth.de,314,无
,,,,,上海大学 ,,,,,312,
美国,全国性大学,94*(3),1818年*(1),密苏里州,圣路易斯大学 ,"12,914",公立，男女合校,圣路易斯市,www.slu.edu*(4),317,天主
加拿大,医博类大学,14,1907年,萨斯喀彻温省,萨斯喀彻温大学 ,"19,468",公立，男女合校,萨斯卡通,www.usask.ca,310,无
"
英国
","
综合性大学
","
21
","
1909年
","
英格兰
",拉夫堡大学 ,"
16,025
","
公立，男女合校
","
拉夫堡
","
www.lboro.ac.uk
",311,"
无
"
,,,,,华东理工大学 ,,,,,313,
"
英国
","
综合性大学
","
38
","
1821年
","
苏格兰
",赫瑞瓦特大学 ,"
10,870
","
公立，男女合校
","
爱丁堡
","
www.hw.ac.uk
",309,"
无
"
,,,,,兰州大学 ,,,,,308,
美国,"12,949",202,1964,马萨诸塞州,马萨诸塞大学波士顿分校 ,"17,030",公立，男女合校,波士顿,"4,081",307,无
德国,综合性大学，可授予博士学位,,1969年*(1),,比勒费尔德大学 ,"19,666(2013年)*(4)",公立，男女合校,比勒费尔德,www.uni-bielefeld.de,306,无
,,,,,四川大学 ,,,,,303,
,,,,,华中师范大学 ,,,,,302,
,,,,,华东师范大学 ,,,,,301,
美国,1:19*(3),USNEWS：103*(2),1866,新罕布什尔州,新罕布什尔大学 ,,公立，男女合校*(3),达勒姆,新英格兰学校及学院协会(NEASC)*(3),304,无
美国,"54,513",171,1963,佛罗里达州,中佛罗里达大学 ,"63,002",公立，男女合校,奥兰多,"8,489",300,无
美国,全国性大学,140*(2),1897年*(1),加利福尼亚州,圣地亚哥州立大学 ,"34,254",公立，男女合校,圣地亚哥,www.sdsu.edu,305,无
加拿大,综合类大学,6,1942年,安大略省,卡尔顿大学 ,"26,769",公立，男女合校,渥太华,www.carleton.ca,298,无
英国,综合性大学,47,1920年,威尔士,斯旺西大学 ,"14,770",公立，男女合校,斯旺西,www.swan.ac.uk,296,无
,,,,,北京理工大学 ,,,,,295,
英国,综合性大学,42,1796年,苏格兰,斯凯莱德大学 ,"19,755",公立，男女合校,格拉斯哥,www.strath.ac.uk,294,无
美国,"22,284",RNP,1956,威斯康辛州,威斯康辛大学密尔沃基分校 ,-,公立，男女合校,密尔沃基,-,297,无
美国,1:20*(3),156,1890*(1),俄克拉荷马州,俄克拉荷马州立大学 ,"25,806*(3)",公立，男女合校*(3),静水市（音译：斯蒂尔沃特）*(1),俄克拉荷马州立大学系统公立与赠地大学协会（APLU）*(3),299,无
德国,综合性大学，可授予博士学位,,1966年*(1),,康斯坦茨大学 ,"11,337(2012年)*(1)",公立，男女合校,康斯坦次,www.uni-konstanz.de,292,无
英国*(2),1994集团*(5),QS世界：42(370)；Times国内：39*(1),1963年*(2),苏格兰*(2),埃塞克斯大学 ,"13,980（全日制与非全日制）*(3)",公立，男女合校,科尔切斯特*(2),www.essex.ac.uk,330,无
,,,,,苏州大学 ,,,,,290,
,,,,,中国农业大学 ,,,,,289,
美国,中西部地方性大学,USNEWS: 34*(3),1830 *(2),俄亥俄州,首府大学 ,"3,465",私立，男女合校,哥伦布,www.capital.edu,291,
美国,无,176*(2),千里之行，始于足下,德克萨斯州,德州理工大学 ,1923*(1),"From here, it's possible.",卢布克,7.44Km2，市区*(1),293,公立，男女合校
新西兰,综合性大学,,1927年,,梅西大学 ,"33,904",公立，男女合校,北帕默斯顿、奥克兰、惠灵顿,www.massey.ac.nz,287,无
"
美国
",,,,"
亚利桑那州
",坦佩（亚利桑那州） ,,,,,286,
德国,11%(2013年)*(4),,1584年*(1),,不来梅大学 ,"20,000(2013年)*(4)",公立，男女合校,不来梅,精英大学,288,无
,,,,,天津大学 ,,,,,284,
美国,全国性大学,USNEWS：223*(2),1913,佐治亚州,佐治亚州立大学 ,"32,080",公立，男女合校*(4),亚特兰大,www.gsu.edu,282,
,,,,,伦敦商学院 ,,,,,280,
美国,综合性大学,RNP,1895,德克萨斯州,德克萨斯大学阿灵顿分校 ,-,公立，男女合校,阿灵顿,www.uta.edu,281,无
新西兰,综合性大学,,1897年,,惠灵顿维多利亚大学 ,"22,234",公立，男女合校,惠灵顿,www.victoria.ac.nz,278,无
澳大利亚,三星或四星级大学,ERA：20*(4),1967年*(2),维多利亚州,拉筹伯大学 ,"35,073(含非全日制及无学位项目学生)*(5)",公立，男女合校,墨尔本,www.latrobe.edu.au,285,无
,,,,,吉林大学 ,,,,,277,
,,,,,北京航空航天大学 ,,,,,275,
美国,全国性大学,USNEWS：40*(3),1834,路易斯安那州,杜兰大学 ,"13,449*(6)",私立，男女合校*(4),新奥尔良市,tulane.edu,279,
美国,综合性大学,RNP,1969,德克萨斯,德克萨斯大学安东尼奥分校 ,"28,787",公立，男女合校,安东尼奥,www.utsa.edu,273,无
美国,全国性大学,75*(2),1873-1874年*(1),科罗拉多州,科罗拉多矿业学院 ,"5,518（不含Part-time）；5,924（含Part-time）",公立，男女合校,戈尔登,www.mines.edu,276,无
,,,,,中南大学 ,,,,,271,
"
美国
",,,,"
马萨诸塞州
",伍斯特（马萨诸塞州） ,,,,,272,
德国,综合性大学，可授予博士学位,,1829年*(1),,斯图加特大学 ,"22,600(2011年)*(4)",公立，男女合校,斯图加特,www.uni-stuttgart.de,269,无
美国,1:17*(4),USNEWS：97*(2),1791,佛蒙特州,佛蒙特大学 ,,公立，男女合校*(3),伯灵顿,公立常春藤,274,无
美国,8%*(10),61*(9),私立，男女合校,德克萨斯州,南卫理公会大学 ,主校区达拉斯：0.93Km2，市区新墨西哥州陶斯镇：1.19 Km2，市区德克萨斯州布兰诺市：0.074 Km2，市区*(1),真理必叫你们得以自由,达拉斯,南部学院及学校协会（SACS）,283,1911*(1)
美国,,,,爱达荷州,莫斯科（爱达荷州） ,,,,,267,
德国,综合性大学，可授予博士学位,,1991年*(1),,波茨坦大学 ,"19,972(2014年)*(4)",公立，男女合校,波茨坦,www.uni-potsdam.de,265,无
德国,综合性大学，可授予博士学位,,1948年*(1),,萨尔大学 ,"18,492(2013年)*(6)",公立，男女合校,萨尔布吕肯,www.uni-saarland.de,270,无
,,,,,大连理工大学 ,,,,,263,
美国,全国性大学,110*(2),1831*(1),阿拉巴马州,阿拉巴马大学 ,"37,100",公立，男女合校,塔斯卡卢萨,www.ua.edu,268,无
美国,全国性大学,42*(3),1824*(1),纽约州,伦斯勒理工学院 ,"7,113",私立，男女合校,特洛伊,www.rpi.edu,266,无
"
英国
","
综合性大学
","
73
","
1862年
","
英格兰
",普利茅斯大学 ,"
31,105
","
公立，男女合校
","
普利茅斯
","
www.plymouth.ac.uk
",262,"
无
"
"
加拿大
","
综合类大学
","
5
","
1964年
","
安大略省
",贵湖大学 ,"
21,915
","
公立，男女合校
","
贵湖
","
www.uoguelph.ca
",260,"
无
"
美国,全国性大学,140*(3),1972,弗吉尼亚州,乔治梅森大学 ,"33,925",公立，男女合校,费尔法克斯,https://www2.gmu.edu*(4),264,无
德国,17.3%(2014年)*(4),,1877年*(1),,达姆施塔特工业大学 ,"25,100(2014年)*(4)",公立，男女合校,达姆施塔特,综合性大学，可授予博士学位,257,无
美国,1:12.5*(4),32*(3),1863,马萨诸塞州,波士顿学院 ,,私立，男女合校,栗树山 *(2),新常春藤 耶稣会常春藤 隐藏常春藤*(4),256,天主教 *(1)
澳大利亚,四星级大学,ERA：28*(2),1866年*(1),南澳大利亚州,佛林德斯大学 ,"24,537*(6)",公立，男女合校,阿德雷德（Adelaide）,www.flinders.edu.au,258,无
德国,综合性大学，可授予博士学位,,1962年*(1),,雷根斯堡大学 ,"17,320*(1)",公立，男女合校,雷根斯堡,www.uni-regensburg.de,255,无
英国,综合性大学,46,1966年,英格兰,布鲁内尔大学 ,"15,885",公立，男女合校,阿克斯布里奇,www.brunel.ac.uk,253,无
澳大利亚,三星级大学,ERA：15*(2),1908年*(1),维多利亚州,斯威本科技大学 ,"20,864（EFTSL，未计TAFE）*(3)",公立，男女合校,墨尔本,www.swinburne.edu.au,259,无
"
英国
","
综合性大学
","
12
","
1891年
","
英格兰
",萨里大学 ,"
15,055
","
公立，男女合校
","
吉尔福德
","
www.surrey.ac.uk
",251,"
无
"
德国,综合性大学，可授予博士学位,,1527年*(1),,马尔堡大学 ,"25,700*(4)",公立，男女合校,马尔堡,www.uni-mannheim.de,254,无
美国,全国性大学,90*(3),1949,加州,圣地亚哥大学 ,"8,251",私立，男女合校,圣地亚哥,www.sandiego.edu,252,罗马天主
德国,综合性大学，可授予博士学位,,1968年*(1),,多特蒙德工业大学 ,"27,010(2012年)*(4)",公立，男女合校,多特蒙德,www.uni-dortmund.de,248,无
美国,"8,854",216,1965,佛罗里达州,佛罗里达国际大学 ,"49,892",公立，男女合校,迈阿密,1:25,249,无
"
英国
",,,,,巴斯（英格兰） ,,,,,246,
美国,全国性大学,32*(4),1848年*(1),密西西比州,密西西比大学 ,"23,212",公立，男女合校,牛津,www.olemiss.edu,247,无
澳大利亚,四星级大学,ERA：16*(3),1887年*(2),维多利亚州,皇家墨尔本理工大学 ,"74,000*(2)",公立，男女合校,墨尔本（Melbourne）,www.rmit.edu.au,261,无
加拿大,医博类大学,16,1877年,曼尼托巴省,曼尼托巴大学 ,"28,335",公立，男女合校,温尼伯格,umanitoba.ca,245,无
,,,,,华南理工大学 ,,,,,243,
,,,,,山东大学 ,,,,,242,
美国,北部地方性大学,34*(3),1865 *(2),新泽西州,莱德大学 ,"5,075",私立，男女合校,劳伦斯维尔,www.rider.edu,241,无
,,,,,中国地质大学 ,,,,,240,
加拿大,综合类大学,8,1959年,安大略省,约克大学（加拿大） ,"52,030",公立，男女合校,多伦多,www.yorku.ca,239,无
美国,全国性大学,94*(2),1891*(1),宾夕法尼亚州,德雷塞尔大学 ,"26,359*(3)",私立，男女合校,费城,www.drexel.edu,250,无
美国,全国性大学,115*(2),1884年*(1),宾夕法尼亚州,天普大学 ,"38,027",公立，男女合校,费城,www.temple.edu,237,无
,,,,,东南大学 ,,,,,235,
,,,,,西安交通大学 ,,,,,234,
美国,1:21*(3),USNEWS：192*(2),1927,德克萨斯州,休斯敦大学 ,,公立，男女合校*(3),休斯敦,南部学院及学校协会（SACS）*(3),236,无
美国,1:19*(5),USNEWS：145*(3),1863,堪萨斯州,堪萨斯州立大学 ,,公立，男女合校*(4),曼哈顿,中北部学院及学校协会（NCACS）*(4),232,无
美国,1:16*(4),USNEWS：61*(3),1870,纽约州,雪城大学 ,,私立，男女合校*(4),锡拉丘兹,12% *(4),238,
加拿大,医博类大学,4,1841年,安大略,皇后大学 ,"18,531",公立，男女合校,金斯顿,www.queensu.ca,231,无
美国,全国性大学,159*(4),1907年*(1),夏威夷州,夏威夷大学马诺阿分校 ,"18,865",公立，男女合校,檀香山,www.manoa.hawaii.edu,230,无
美国,全国性大学,171*(6),1838年*(1),弗吉尼亚州,弗吉尼亚联邦大学 ,"31,242*(2)",公立，男女合校,里士满,www.vcu.edu,229,无
德国,综合性大学，可授予博士学位,,1607年*(1),,吉森大学 ,"26,500(2014年)*(4)",公立，男女合校,吉森,www.uni-giessen.de,228,无
英国*(1),综合性大学,QS:179 (Times:7),1966年*(1),英格兰,巴斯大学 ,"15,155（含全日制与非全日制）*(2)",公立，男女合校,巴斯,,233,无
澳大利亚,三星或四星级大学,ERA：14*(2),1874年*(3),南澳大利亚州,南澳大学 ,"33,549（含非全日制学生及海外学生）*(4)",公立，男女合校,阿德雷德,www.unisa.edu.au,244,无
德国,医科大学，可授予博士学位,,1965年*(1),,汉诺威医学院 ,"2,688(2014年)*(1)",公立，男女合校,汉诺威,www.mh-hannover.de,225,无
,,,,,筑波大学 ,,,,,226,
,,,,,早稻田大学 ,,,,,224,
德国,综合性大学，可授予博士学位,,1409年*(1),,莱比锡大学 ,"28,125 *(1)",公立，男女合校,莱比锡,www.uni-leipzig.de,222,无
,,,,,厦门大学 ,,,,,220,
德国,综合性大学，可授予博士学位,,1962年*(1),,波鸿大学 ,"41,456(2013年)*(4)",公立，男女合校,波鸿,www.ruhr-uni-bochum.de,221,无
美国,全国性大学,133*(4),1860年*(1),路易斯安那州,路易斯安那州立大学 ,"31,524",公立，男女合校,巴吞鲁日,www.lsu.edu,218,无
