英国,"全日制18, 650；非全日制290*(3)",29,苏格兰,"全日制6,485；非全日制935*(3)",爱丁堡,www.ed.ac.uk,爱丁堡大学 
美国,"20,607*(3)",28,加利福尼亚州,"2,890*(3)",圣塔芭芭拉,www.ucsb.edu,加州大学圣塔芭芭拉分校 
美国,"24,985*(3)",27,纽约州,"24,289*(3)",纽约市,www.nyu.edu,纽约大学 
澳大利亚,"22,146*(3)",25,维多利亚州,"18,308*(3)",墨尔本,www.unimelb.edu.au,墨尔本大学 
美国,"29,580*(4)",30,威斯康辛州,"13,809*(4)",麦迪逊,www.wisc.edu,威斯康辛大学麦迪逊分校 
英国,"全日制14,625；非全日制785*(2)",22,英格兰,"全日制9,750；非全日制3,260*(2)",伦敦,www.ucl.ac.uk,伦敦大学学院 
美国,"14,315*(3)",23,纽约州,"7,589*(3)",伊萨卡,www.cornell.edu,康奈尔大学 
英国,"全日制8,885；非全日制0*(2)",17,英格兰,"全日制5,895；非全日制1,445*(2)",伦敦,www.imperial.ac.uk,帝国理工学院 
美国,"33,735",16,加利福尼亚州,"26,590 *(5)",拉霍亚,西部学校及学院协会（WASC）,加州大学圣地亚哥分校 
3,"12,962",14,美国,"5,844*(3)",伊利诺伊州,中北部学院及学校协会（NCACS）,芝加哥大学 
美国,"5,532*(6)",12,康涅狄格州,"6,853*(6)",纽黑文,www.yale.edu,耶鲁大学 
美国,"5,402*(3)",9,新泽西州,"2,736*(3)",普林斯顿,www.princeton.edu,普林斯顿大学 
56*(2),"45,408",11,美国,"31,063*(3)",华盛顿州,西北学院及大学认证委员会（NWCCU）*(3),华盛顿大学 
美国,"1,001*(7)",6,加利福尼亚州,"1,254*(7)",帕萨迪纳,www.caltech.edu,加州理工学院 
英国,"全日制11,380；非全日制5,275*(3)",5,英格兰,"全日制7,515；非全日制1,735*(3)",牛津,www.ox.ac.uk,牛津大学 
美国,"6,999*(3)",3,加利福尼亚州,"9,771*(3)",斯坦福,www.stanford.edu,斯坦福大学 
美国,"4,527*(7)",2,马萨诸塞州,"6,804*(7)",剑桥,www.mit.edu,麻省理工学院 
英国,"全日制11,865；非全日制290*(3)",7,英格兰,"全日制6,485；非全日制935*(3)",剑桥,www.cam.ac.uk,剑桥大学 
undergraduate_num,name,rank,country,postgraduate_num,city,state,website
"≈6,700*(3)",哈佛大学 ,1,美国,"≈14,500*(3)",剑桥（马萨诸塞州）,马萨诸塞州,www.harvard.edu
"全日制11,380；非全日制5,275*(3)",牛津大学 ,5,英国,"全日制7,515；非全日制1,735*(3)",牛津,英格兰,www.ox.ac.uk
"6,999*(3)",斯坦福大学 ,3,美国,"9,771*(3)",斯坦福,加利福尼亚州,www.stanford.edu
"4,527*(7)",麻省理工学院 ,2,美国,"6,804*(7)",剑桥,马萨诸塞州,www.mit.edu
city,undergraduate_num,postgraduate_num,website,rank,state,name,country
剑桥（马萨诸塞州）,"≈6,700*(3)","≈14,500*(3)",www.harvard.edu,1,马萨诸塞州,哈佛大学 ,美国
伯克利,"27,496 *(5)","10,708*(5)",www.berkeley.edu,4,加利福尼亚州,加州大学伯克利分校 ,美国
斯坦福,"6,999*(3)","9,771*(3)",www.stanford.edu,3,加利福尼亚州,斯坦福大学 ,美国
